,Country,Language_Family,Economic_Family,Geographical_Cultural_Region,lat,lon,GDP_per_capita
0,GE - Georgia,14,Emerging_Market,Other,42.3154,43.3569,8.284
1,LU - Luxembourg,"1,3,4",Advanced_Economy,West,49.8153,6.1296,137.516
2,RO - Romania,4,Emerging_Market,Central/East,45.9432,24.9668,20.072
3,PT - Portugal,4,Advanced_Economy,South,39.3999,-8.2245,28.844
4,SE - Sweden,"1,2",Advanced_Economy,North,60.1282,18.6435,57.723
5,NO - Norway,"1,2",Advanced_Economy,North,60.472,8.4689,86.81
6,UK - United Kingdom,"1,3",Advanced_Economy,West,55.3781,-3.436,52.637
7,AT - Austria,"1,3",Advanced_Economy,West,47.5162,14.5501,56.833
8,CY - Cyprus,"9,15",Advanced_Economy,Other,35.1264,33.4299,38.654
9,SI - Slovenia,"5,8",Advanced_Economy,Central/East,46.1512,14.9955,34.089
10,FI - Finland,12,Advanced_Economy,North,61.9241,25.7482,53.189
11,BE - Belgium,"1,3,4",Advanced_Economy,West,50.5039,4.4699,55.723
12,MT - Malta,"1,3,16",Advanced_Economy,South,35.9375,14.3754,42.347
13,BA - Bosnia and Herzegovina,"5,8",Emerging_Market,Central/East,43.9159,17.6791,8.957
14,BG - Bulgaria,"5,8",Emerging_Market,Central/East,42.7339,25.4858,17.412
15,LV - Latvia,10,Advanced_Economy,Central/East,56.8796,24.6032,23.367
16,RS - Serbia,"5,8",Emerging_Market,Central/East,44.0165,21.0059,13.524
17,SK - Slovakia,"5,6",Advanced_Economy,Central/East,48.669,19.699,26.148
18,FR - France,4,Advanced_Economy,West,46.2276,2.2137,46.15
19,HR - Croatia,"5,8",Advanced_Economy,Central/East,45.1,15.2,23.932
20,TR - Turkey,15,Emerging_Market,Other,38.9637,35.2433,15.473
21,EL - Greece,9,Advanced_Economy,South,39.0742,21.8243,24.752
22,MK - The Republic of North Macedonia,"5,8,11",Emerging_Market,Central/East,41.6086,21.7453,9.31
23,ME - Montenegro,"5,8",Emerging_Market,Central/East,42.7087,19.3744,12.936
24,IT - Italy,4,Advanced_Economy,South,41.8719,12.5674,40.226
25,DE - Germany,"1,3",Advanced_Economy,West,51.1657,10.4515,55.8
26,IS - Iceland,"1,2",Advanced_Economy,North,64.9631,-19.0208,82.704
27,HU - Hungary,13,Emerging_Market,Central/East,47.1625,19.5033,23.31
28,XK - Kosovo * UN resolution,11,Developing_Economy,Central/East,42.6026,20.903,7.299
29,LY - Libya,16,Developing_Economy,Other,26.3351,17.2283,6.318
30,IE - Ireland,"1,3",Advanced_Economy,West,53.1424,-7.6921,107.316
31,NL - Netherlands,"1,3",Advanced_Economy,West,52.1326,5.2913,68.219
32,LT - Lithuania,10,Advanced_Economy,Central/East,55.1694,23.8813,29.386
33,EE - Estonia,"10,12",Advanced_Economy,Central/East,58.5953,25.0136,31.17
34,CZ - Czechia,"5,6",Advanced_Economy,Central/East,49.8175,15.473,31.707
35,ES - Spain,4,Advanced_Economy,South,40.4637,-3.7492,35.298
36,DK - Denmark,"1,2",Advanced_Economy,North,56.2639,9.5018,71.852
37,PL - Poland,"5,6",Emerging_Market,Central/East,51.9194,19.1451,25.023
38,LI - Liechtenstein,"1,3",Advanced_Economy,West,47.166,9.5554,207.973
